indicador,comuna,poblacion,prev_media,prev_mediana,prev_p2_5,prev_p97_5,casos_media,casos_mediana,casos_p2_5,casos_p97_5
ERC G3a-G5,VILCUN,23094.000000000015,0.03311865044226117,0.026911544720328997,0.005259258664635012,0.10040456276880597,764.8421133135801,621.4952137712783,121.45731960108102,2318.7429725828065
ERC G3a-G5,VILLARRICA,50146.00000000002,0.0350305567119867,0.029209068180489836,0.006921277780691753,0.09795447385348009,1756.6422968792858,1464.7179329788441,347.0743955905688,4912.025045856616
ERC G3b-G5,ANGOL,39571.00000000001,0.02043509069466181,0.01709483259832571,0.004653269663976058,0.055997248905345576,808.6369738784626,676.4596207483468,184.13453387319657,2215.86713643343
ERC G3b-G5,CARAHUE,18569.000000000007,0.02218809764696151,0.018449806567342655,0.004768277744542068,0.05946651239095508,412.0107852064284,342.5944581489859,88.54214943840172,1104.2336685876453
ERC G3b-G5,CHOLCHOL,9534.999999999998,0.02809408477858854,0.024077974249468552,0.0074513938649595594,0.07104301534545952,267.8770983638417,229.58348446868263,71.04904050238939,677.3951513189563
ERC G3b-G5,COLLIPULLI,17936.999999999993,0.018114939029602824,0.0150830416156481,0.0038889677588901795,0.0494690649170975,324.9276613739857,270.5445174598799,69.75641469121312,887.3266174179776
ERC G3b-G5,CUNCO,14658.999999999989,0.03484591767210762,0.02917470417616136,0.0076391479342085514,0.09326126330980349,510.80630715542515,427.67198851834905,111.98226956756308,1367.1168588584085
ERC G3b-G5,CURACAUTIN,14166.000000000005,0.032724400311843954,0.027276990823369974,0.006672663831567407,0.0898652936709939,463.5738548175816,386.4058520038592,94.52495583798392,1273.0317501433
ERC G3b-G5,CURARREHUE,5696.999999999996,0.01786887967781723,0.01518896033050644,0.004034695837666662,0.04682704948947596,101.7990075245247,86.53150700289513,22.985662187186957,266.7737009415444
ERC G3b-G5,ERCILLA,5559.999999999997,0.01624061167138149,0.013543065934042232,0.0033245494296163048,0.04527435238695767,90.29780089288104,75.29944659327478,18.484494828666644,251.72539927148455
ERC G3b-G5,FREIRE,20034.999999999985,0.027253840908481815,0.02322197878818591,0.007349727298802808,0.07050923258097529,546.0307026014328,465.25234502130434,147.25178643151418,1412.6524747598387
ERC G3b-G5,GALVARINO,9349.000000000002,0.030655135531353597,0.02519900281334361,0.007020003373789182,0.08512759116163282,286.59486208262484,235.58547730194942,65.63001154155508,795.8578497701053
ERC G3b-G5,GORBEA,10993.000000000002,0.02308966178296287,0.019705413056967543,0.0053881518847361904,0.05900666349879636,253.82465198011087,216.62160573524426,59.23195366890495,648.6602518422685
ERC G3b-G5,LAUTARO,30689,0.014369123609616466,0.011857966634773108,0.0028802528492468636,0.04026885992751613,440.9740344555197,363.90913805455193,88.39207969053699,1235.8110423155426
ERC G3b-G5,LONCOCHE,19038.99999999999,0.02489965795297108,0.021005819052477816,0.005451913939803043,0.06592956421627151,474.0645877666161,399.9297889401249,103.79898949991008,1255.2329731135924
ERC G3b-G5,LONQUIMAY,7514.000000000005,0.025367458109146257,0.021071486055760077,0.005368938903325802,0.06880390778840315,190.6110802321251,158.33114622298132,40.34220691959011,516.9925631220615
ERC G3b-G5,LOS SAUCES,5562.9999999999945,0.018489435560618966,0.015166759049761787,0.0037450217388680703,0.05160861645268619,102.85673002372322,84.37268059382474,20.833555933323055,287.098733326293
ERC G3b-G5,LUMACO,6919,0.02816877791102385,0.02328598693907309,0.005643804447581988,0.07832009448298015,194.899774366374,161.11574363144672,39.049482972819774,541.8967337277396
ERC G3b-G5,MELIPEUCO,5164.000000000002,0.03561305456667452,0.03044693388898694,0.009622530835283256,0.0918102502584426,183.9058137823073,157.2279666027286,49.690749233402755,474.10813233459777
ERC G3b-G5,NUEVA IMPERIAL,25340.99999999999,0.02112824872402271,0.01769240028367986,0.004534170949592566,0.05715124430412798,535.4109509154592,448.34311558873117,114.90042603362517,1448.2696819109065
ERC G3b-G5,PADRE LAS CASAS,58670.00000000001,0.015659419689984595,0.01308117233762306,0.003468974601925124,0.042804280220190824,918.7381532113963,767.472381048345,203.52473989494703,2511.327120518596
ERC G3b-G5,PERQUENCO,5537.999999999995,0.013239391320188696,0.01058063613979396,0.002474016028613082,0.03918609132374359,73.31974913120494,58.5955629421789,13.701100766459238,217.01257375089182
ERC G3b-G5,PITRUFQUEN,20452.000000000007,0.020005695536665435,0.017163434671268102,0.003949599297443221,0.05348311041905679,409.15648511588165,351.0265658967753,80.77720483130877,1093.8365742905498
ERC G3b-G5,PUCON,24191.999999999985,0.013792841527188503,0.011406495869600925,0.002685401015620652,0.040133685499880764,333.6764222257441,275.9459480773854,64.96522136989476,970.914119613115
ERC G3b-G5,PUREN,9114.999999999996,0.020353769074604473,0.017112683945870427,0.004321312058221402,0.054771793065093874,185.52460511501968,155.98211416660888,39.38875941068807,499.24489378833044
ERC G3b-G5,RENAICO,7948.999999999998,0.021601909816036286,0.01814835613530933,0.004565085513330361,0.05899286506275768,171.7135811276724,144.26128291957383,36.287864745463025,468.93428438386064
ERC G3b-G5,SAAVEDRA,9634.999999999995,0.05056524785530753,0.040563239146845745,0.008051809912244207,0.15080205658873364,487.19616308588775,390.8268091798585,77.5791885044729,1452.9778152324477
ERC G3b-G5,TEMUCO,221666.0000000001,0.015663327815012326,0.013114010544784949,0.003966904613742941,0.04143675012294074,3472.0272234425233,2906.9302614203016,879.3278781099432,9185.118652751786
ERC G3b-G5,TEODORO SCHMIDT,11882,0.020028654837867792,0.01695895195104828,0.004499125621987989,0.05343753847401685,237.9804767835451,201.5062670823557,53.4586106404613,634.9448321482682
ERC G3b-G5,TOLTEN,7628.000000000001,0.026500795400321225,0.02212673233975003,0.005743353667785538,0.07111853628067841,202.14806731365033,168.78271428761326,43.810301777868084,542.492194749015
ERC G3b-G5,TRAIGUEN,14182.000000000007,0.03820086509959303,0.031436697702791123,0.007425098246041525,0.10739340558819474,541.7646688424286,445.83524682098397,105.30274332536095,1523.0532780517788
ERC G3b-G5,VICTORIA,26018.999999999996,0.017375549812514515,0.014477661915847996,0.0036877858004791654,0.04793199429948256,452.0944305718151,376.694285388449,95.9524987426674,1247.1425596782367
ERC G3b-G5,VILCUN,23094.000000000015,0.015318707536840294,0.012476814565699275,0.0031398568917069586,0.04383038095332722,353.77023185579,288.13955558025924,72.51185505708054,1012.2188177361395
ERC G3b-G5,VILLARRICA,50146.00000000002,0.021318638072447594,0.018025545131779723,0.004633815087597629,0.05691538624124659,1069.0444247809576,903.9089861782263,232.36729138267083,2854.078958453553
